V	1002	ATI Technologies Inc
X	17011028	AMD Radeon (TM) RX 580
X	17021028	AMD Radeon (TM) RX 570
X	17221028	AMD Radeon (TM) RX 570X
X	17221028	AMD Radeon (TM) RX 570
X	17231028	AMD Radeon (TM) RX 580X
X	17231028	AMD Radeon (TM) RX 580
X	175C1028	Radeon (TM) RX 570
X	30001787	Radeon (TM) RX 470 Series
X	35401462	Radeon RX 570
X	470D148C	Radeon (TM) RX 470 Series
X	840E103C	Radeon(TM) RX 580
X	840F103C	Radeon(TM) RX 580
X	8539103C	Radeon(TM) RX 580X
X	853A103C	Radeon(TM) RX 580X
X	947D1682	Radeon (TM) RX 470 Series
X	A019174B	Radeon (TM) RX 470 Series
X	E3661DA2	Radeon RX 580 Series
X	E3661DA2	Radeon RX 580 Series
D	67E0	Radeon (TM) Pro WX Series
X	8270103C	Radeon(TM) Pro WX 4170 Graphics
X	8272103C	Radeon(TM) Pro WX 4170 Graphics
X	8275103C	Radeon (TM) Pro WX Series
X	8277103C	Radeon (TM) Pro WX Series
X	842D103C	Radeon(TM) Pro WX 4170 Graphics
X	842F103C	Radeon(TM) Pro WX 4170 Graphics
D	67E3	Radeon (TM) Pro WX 4100
D	67E8	Radeon (TM) Pro WX Series
X	075D1028	Radeon (TM) Pro WX 4150 Graphics
X	07B01028	Radeon (TM) Pro WX 4150 Graphics
X	07B01028	Radeon (TM) Pro WX 4130 Graphics
X	07B11028	Radeon (TM) Pro WX 4130 Graphics
X	08311028	Radeon (TM) Pro WX 4150 Graphics
X	08311028	Radeon (TM) Pro WX 4130 Graphics
X	08321028	Radeon (TM) Pro WX 4150 Graphics
X	08321028	Radeon (TM) Pro WX 4130 Graphics
X	08891028	Radeon (TM) Pro WX 4150 Graphics
X	088A1028	Radeon (TM) Pro WX 4150 Graphics
X	175D1028	Radeon (TM) Pro WX 4150 Graphics
X	17B01028	Radeon (TM) Pro WX 4150 Graphics
X	17B01028	Radeon (TM) Pro WX 4130 Graphics
X	17B11028	Radeon (TM) Pro WX 4130 Graphics
X	18311028	Radeon (TM) Pro WX 4150 Graphics
X	18311028	Radeon (TM) Pro WX 4130 Graphics
X	18321028	Radeon (TM) Pro WX 4150 Graphics
X	18321028	Radeon (TM) Pro WX 4130 Graphics
X	18891028	Radeon (TM) Pro WX 4150 Graphics
X	188A1028	Radeon (TM) Pro WX 4150 Graphics
X	8275103C	Radeon(TM) Pro WX 4150 Graphics
X	8277103C	Radeon(TM) Pro WX 4150 Graphics
X	842A103C	Radeon(TM) Pro WX 4150 Graphics
X	842C103C	Radeon(TM) Pro WX 4150 Graphics
D	67EB	Radeon (TM) Pro V5300X
D	67EF	Radeon RX 560 Series
X	00331019	AMD Radeon (TM) RX 460
X	00331019	AMD Radeon (TM) RX 460
X	00331019	AMD Radeon(TM) RX460
X	00361019	Radeon(TM) RX 560 Graphics
X	00361019	AMD Radeon(TM) RX560
X	05531043	ASUS Radeon RX550 Series
X	07E21028	Radeon(TM) RX 560 Graphics
X	10081028	AMD Radeon (TM) RX 460
X	14A01043	AMD Radeon (TM) RX 460 Graphics
X	14A01043	AMD Radeon (TM) RX 460 Graphics
X	16411642	RadeonT RX 460
X	16431642	Radeon RX 560
X	16451642	Radeon(TM) RX 460 Graphics
X	17031028	AMD Radeon (TM) RX 560
X	17261028	AMD Radeon (TM) RX 560X
X	30001787	AMD Radeon(TM) RX 560 Series
X	34201462	RadeonT RX 460
X	36F617AA	Radeon (TM) RX 560
X	39C217AA	AMD Radeon(TM) RX 460
X	39C217AA	AMD Radeon(TM) RX 560
X	826A103C	Radeon(TM) RX 460 Graphics
X	946D1682	Radeon RX 460 Series
X	956D1682	AMD Radeon(TM) RX 560 Series
X	A46D1787	Radeon RX 460 Series
X	A56D1787	AMD Radeon(TM) RX 560 Series
X	E357174B	AMD Radeon(TM) RX460
D	67FF	AMD Radeon Pro 465
X	07E21028	Radeon(TM) RX 560 Graphics
X	07E31028	Radeon(TM) RX 560 Graphics
X	07E41028	Radeon(TM) RX 560 Graphics
X	17211028	AMD Radeon (TM) RX 560X
D	6800	AMD Radeon HD 7970M
D	6801	AMD Radeon(TM) HD8970M
D	6808	AMD FirePro W7000 (FireGL V)
X	03101002	AMD FirePro S7000 (FireGL V)
X	03101002	AMD FirePro S7000
X	04201002	Radeon Sky 500
D	6809	AMD FirePro W5000 (FireGL V)
X	0B041002	AMD FirePro R5000 (FireGL V)
X	0B041002	AMD FirePro R5000
D	6810	AMD Radeon R9 200 Series
X	09081043	AMD Radeon (TM) R9 370 Series
X	09081458	AMD Radeon (TM) R9 370 Series
X	09081462	AMD Radeon (TM) R9 370 Series
X	0908148C	AMD Radeon(TM) R9 370 Series
X	09081682	AMD Radeon(TM) R9 370 Series
X	0908174B	AMD Radeon(TM) R9 370 Series
X	09081787	AMD Radeon(TM) R9 370 series
X	0B001028	AMD Radeon (TM) R9 370X
X	33401462	AMD Radeon (TM) R9 370X
X	73701682	AMD Radeon R7 370 Series
D	6811	AMD Radeon R9 200 Series
X	0B001028	AMD Radeon (TM) R9 370
X	20151682	AMD Radeon (TM) R7 370 Series
X	20161043	AMD Radeon (TM) R9 370 Series
X	20161458	AMD Radeon (TM) R9 370 Series
